code,product_name,countries_en,brands,abbreviated_product_name,generic_name,quantity,ecoscore_score,ecoscore_grade,nutrient_levels_tags,main_category_en,nutriscore_score,nutriscore_grade,nova_group,food_groups_en
3596710518777,Cordon bleu de poulet mozzarella et jambon saveurs du sud,"France,World",Auchan,Auchan cordon bleu mozarella et jam,"Viande de poulet traitée en salaison, fourrée à la mozzarella fondue et au jambon de dinde cuit standard saveur tomate et plantes aromatiques, panée et cuite",0.2 kg,28.0,d,"en:fat-in-moderate-quantity,en:saturated-fat-in-moderate-quantity,en:sugars-in-low-quantity,en:salt-in-moderate-quantity",fr:chicken-cordons-bleus,9.0,c,4.0,
3596710518784,Crêpe dentelle - pur beurre,"France,World","Auchan, Terroir",Auchan terroir crepes dentelles 120,Crêpes dentelle nature,14 pièces,38.0,d,"en:fat-in-moderate-quantity,en:saturated-fat-in-high-quantity,en:sugars-in-high-quantity,en:salt-in-moderate-quantity",Plain crêpes dentelle,23.0,e,4.0,"Sugary snacks,Biscuits and cakes"
3596710518845,Eau minérale finement pétillante,"France,World",Auchan,Auchan eau minerale gazeuse sce per,"Source Perle, Eau Minérale Naturelle avec adjonction de gaz carbonique",7.5 l,,not-applicable,,Carbonated natural mineral waters,0.0,a,1.0,"Beverages,Waters and flavored waters"
3596710518852,Eau minérale finement pétillante,"France,World",Auchan,Auchan eau minerale gazeuse sce per,"Source Perle, Eau Minérale Naturelle avec adjonction de gaz carbonique",1.25 l,,not-applicable,"en:fat-in-low-quantity,en:saturated-fat-in-low-quantity,en:sugars-in-low-quantity,en:salt-in-low-quantity",Carbonated natural mineral waters,0.0,a,,"Beverages,Unsweetened beverages"
3596710518869,Eau minérale finement pétillante,"France,World",Auchan,Auchan eau minerale gazeuse sce per,"Source Perle, eau Minérale Naturelle avec adjonction de gaz carbonique",0.5 l,,unknown,,,,unknown,,
3596710518876,Eau minérale finement pétillante,"France,World",Auchan,Auchan eau minerale gazeuse sce per,"Source Perle, eau Minérale Naturelle avec adjonction de gaz carbonique",3 l,,unknown,,,,unknown,,
3596710518944,Ravioli à la sauce tomate,"France,World",Pouce,Pouce ravioli boite 4/4 800g,"Ravioli farci au poulet, aromatisé et à la sauce tomate",0.8 kg,,unknown,"en:fat-in-low-quantity,en:saturated-fat-in-low-quantity,en:sugars-in-low-quantity,en:salt-in-moderate-quantity",Canned raviolis,1.0,b,4.0,"Composite foods,One-dish meals"
3596710518951,Pur jus poire,"France,World",Auchan,Auchan pur jus poire pet 1l,Jus de poire,1 l,4.0,e,"en:fat-in-low-quantity,en:saturated-fat-in-low-quantity,en:sugars-in-high-quantity,en:salt-in-low-quantity",Pear juices,11.0,e,1.0,"Beverages,Unsweetened beverages"
3596710518968,Instant Gourmand - Tropical - A base de concentrés Riche en 10 vitamines,"France,World",Auchan,Auchan nectar gourmand tropical pet,"Jus de fruits partiellement à base de concentrés, enrichi en 10 vitamines (C, B3, E, B5, B6, B2, B1, B9, B8 et pro-vitamine A)",1 l,,unknown,,,,unknown,,
3596710518975,100% Pur Jus Clémentine CORSESans sucres ajoutés** Comme tous les jus de fruits. Contient les sucres naturellement présents dans les fruits.Riche en Vitamine C,"France,World",Auchan,Auchan pur jus clementine de corse,Jus de clémentine,1 l,,unknown,,,,unknown,,
3596710518982,"Auchan eau aromatisee cranberry pet 1,5l",France,Auchan,Auchan eau aromatisee cranberry pet,"Auchan eau aromatisee cranberry pet 1,5l",1.5 l,,unknown,,,,unknown,,
3596710519033,Croûtons grillés nature spécial salade,"France,World",Auchan,Auchan croutons salade nature 60 g,Croûtons cubiques grillés nature,0.06 kg,39.0,d,"en:fat-in-moderate-quantity,en:saturated-fat-in-low-quantity,en:sugars-in-low-quantity,en:salt-in-moderate-quantity",Croutons,6.0,c,4.0,"Cereals and potatoes,Bread"
3596710519040,Croûtons grillés saveur herbes et ail spécial salade,"France,World",Auchan,Auchan croutons salade ail et fines,"Croûtons cubiques grillés aux herbes et à l'ail, aromatisés",0.06 kg,72.0,b,"en:fat-in-moderate-quantity,en:saturated-fat-in-low-quantity,en:sugars-in-moderate-quantity,en:salt-in-high-quantity",Toasts,10.0,c,4.0,"Cereals and potatoes,Bread"
3596710519057,Thon Listao entier au naturel Etiquette 2*160g Auchan Filière (lot de 2 boites),France,Auchan,Auchan thon listao au naturel filie,Thon Listao entier au naturel Etiquette 2*160g Auchan (lot de 2 boites),0.32 kg,,unknown,,,,unknown,,
3596710519064,Thon Listao entier au naturel 400g Auchan Filière (unitaire),France,Auchan,Auchan thon listao au naturel filie,Thon Listao entier au naturel 400g Auchan (unitaire),0.4 kg,0.0,e,"en:fat-in-low-quantity,en:saturated-fat-in-low-quantity,en:sugars-in-low-quantity,en:salt-in-moderate-quantity",Skipjack tuna,0.0,b,3.0,"Fish‚ Meat‚ Eggs,Fish and seafood,Fatty fish"
3596710519071,Thon Listao entier au naturel Etiquette 3*160g Auchan Filière (lot de 3 boites),France,Auchan,Auchan thon listao au naturel filie,Thon Listao entier au naturel Etiquette 3*160g Auchan (lot de 3 boites),0.48 kg,,unknown,,,,unknown,,
3596710519088,Thon Listao entier au naturel Etiquette 160g Auchan (unitaire),France,Auchan,Auchan thon listao au naturel filie,Thon Listao entier au naturel Etiquette 160g Auchan (unitaire),0.16 kg,,unknown,,,,unknown,,
3596710519095,"Essuie-tout compact, 2 plis",France,Auchan,Auchan essuie tout compact x4 (=8),"Essuie-tout compact, 2 plis",4 pièces,,unknown,,,,unknown,,
3596710519576,Truite Fumée d'Aquitaine - salée au sel sec - fumée au bois de hêtre,"France,World","Auchan, Terroir",Auchan terroir truite fumee d'aquit,"Truite arc-en-ciel fumée au bois de hêtre, élevée en eau douce en France en AquitaineGarantie jamais congelée",0.12 kg,,unknown,,,,unknown,,
3596710519583,Truite Fumée de Bretagne - salée au sel sec - fumée au bois de hêtre,"France,World","Auchan, Terroir",Auchan terroir truite fumee de bret,"Truite arc-en-ciel fumée au bois de hêtre, élevée en eau douce en France en BretagneGarantie jamais congelée",0.12 kg,15.0,e,"en:fat-in-moderate-quantity,en:saturated-fat-in-moderate-quantity,en:sugars-in-low-quantity,en:salt-in-high-quantity",Smoked trouts,13.0,d,3.0,"Fish‚ Meat‚ Eggs,Fish and seafood,Fatty fish"
3596710519620,Pain de mie aux graines,"France,World","Auchan, Santé",Auchan sans gluten pain de mie aux,Pain de mie aux graines sans gluten,0.4 kg,70.0,b,"en:fat-in-moderate-quantity,en:saturated-fat-in-low-quantity,en:sugars-in-low-quantity,en:salt-in-moderate-quantity",Multigrain sliced breads,1.0,b,4.0,"Cereals and potatoes,Bread"
3596710519637,Pain de mie sans gluten,"France,World","Auchan, Santé",Auchan sans gluten pain de mie rich,Pain sans gluten,0.4 kg,70.0,b,"en:fat-in-moderate-quantity,en:saturated-fat-in-low-quantity,en:sugars-in-moderate-quantity,en:salt-in-moderate-quantity",Gluten-free sliced breads,6.0,c,4.0,"Cereals and potatoes,Bread"
3596710519644,BURGER sans gluten 300g,"France,World","Auchan, Santé",Auchan sans gluten pain burger x4 3,Pains spéciaux sans gluten,0.3 kg,69.0,b,"en:fat-in-moderate-quantity,en:saturated-fat-in-low-quantity,en:sugars-in-low-quantity,en:salt-in-moderate-quantity",Gluten-free breads,0.0,b,4.0,"Cereals and potatoes,Bread"
3596710519651,Brioches pépites de chocolate,"France,World","Auchan, Santé",Auchan sans gluten briochettes pepi,Briochettes Pépites de Chocolat - Sans Gluten,0.3 kg,54.0,c,"en:fat-in-moderate-quantity,en:saturated-fat-in-moderate-quantity,en:sugars-in-high-quantity,en:salt-in-moderate-quantity",Small brioches,2.0,b,4.0,"Sugary snacks,Pastries"
3596710519668,Brioche sans gluten,"France,World","Auchan, Santé",Auchan sans gluten brioche 300g,Brioche sans gluten,0.3 kg,44.0,c,"en:fat-in-moderate-quantity,en:saturated-fat-in-moderate-quantity,en:sugars-in-high-quantity,en:salt-in-moderate-quantity",Brioches,9.0,c,4.0,"Sugary snacks,Pastries"
3596710519675,Mini Pocket,"France,World",Auchan,Auchan mini mix pocket xxl 800g,Confiseries gélifiées aromatisées,0.8 kg,,unknown,,,,unknown,4.0,
3596710519682,AUCHAN CREPES FOURREES CHOCOLAT X15 Format familial 480G,France,Auchan,Auchan crepes fourrees chocolat x15,AUCHAN CREPES FOURREES CHOCOLAT X15 Format familial 480G,0.48 kg,,unknown,"en:fat-in-moderate-quantity,en:saturated-fat-in-moderate-quantity,en:sugars-in-high-quantity,en:salt-in-moderate-quantity",Crêpes and galettes,18.0,d,,
3596710519699,8 crêpes Fourrage Chocolat et céréales craquantes,"France,World",Auchan,AUCHAN CREPES FOURREES CHOCOLAT etC,"Crêpes (56%) avec fourrage (34,5%) chocolat, pâte de noisette et billes croustillantes enrobées de chocolat (9,5%)",0.256 kg,,unknown,,,,unknown,4.0,
3596710519705,Galettes de mais biologiques,"France,World","Auchan Bio,Auchan",Auchan bio galettes de mais x19 130,Galettes de mais issues de l'agriculture biologique,130 g,58.0,c,"en:fat-in-low-quantity,en:saturated-fat-in-low-quantity,en:sugars-in-low-quantity,en:salt-in-low-quantity",Puffed corn cakes,-1.0,a,3.0,"Cereals and potatoes,Cereals"
3596710519712,Galettes de riz complet au sésame biologiques,"France,World",Auchan Bio,Auchan bio galettes de riz complet,Galettes de riz complet au sésame issues de l'agriculture biologique,0.13 kg,58.0,c,"en:fat-in-moderate-quantity,en:saturated-fat-in-low-quantity,en:sugars-in-low-quantity,en:salt-in-low-quantity",Puffed wholegrain rice cakes,-3.0,a,3.0,"Cereals and potatoes,Cereals"
3596710519729,Galettes de riz complet biologiques,"France,World",Auchan Bio,Auchan bio galettes de riz complet,Galettes de riz complet issues de l'agriculture biologique,0.13 kg,63.0,b,"en:fat-in-low-quantity,en:saturated-fat-in-low-quantity,en:sugars-in-low-quantity,en:salt-in-low-quantity",Puffed wholegrain rice cakes,-2.0,a,3.0,"Cereals and potatoes,Cereals"
3596710519736,Galettes 4 cereales,"France,World","Auchan Bio,Auchan",Auchan bio galettes 4 cereales 130g,Galettes 4 céréales issues de l'agriculture biologique,0.13 kg,58.0,c,"en:fat-in-low-quantity,en:saturated-fat-in-low-quantity,en:sugars-in-low-quantity,en:salt-in-low-quantity",Puffed multigrain cakes,-2.0,a,3.0,"Cereals and potatoes,Cereals"
3596710519743,Galettes De Riz Chocolat Noir,"France,World","Auchan Bio,Auchan",Auchan bio galettes de riz au choco,Galettes de riz nappées de chocolat noir issues de l'agriculture biologique,0.09 kg,63.0,b,"en:fat-in-high-quantity,en:saturated-fat-in-high-quantity,en:sugars-in-high-quantity,en:salt-in-low-quantity",Puffed rice cakes with black chocolate,16.0,d,3.0,"Cereals and potatoes,Cereals"
3596710519750,Galettes de riz chocolat au lait biologiques,"France,World","Auchan Bio,Auchan",Auchan bio galettes de riz extra fi,Galettes de riz nappées de chocolat au lait issues de l'agriculture biologique,0.09 kg,58.0,c,"en:fat-in-high-quantity,en:saturated-fat-in-high-quantity,en:sugars-in-high-quantity,en:salt-in-low-quantity",Puffed rice cakes with milk chocolate,20.0,e,4.0,"Cereals and potatoes,Cereals"
3596710519767,Galette de riz fourrée chocolat noisette,"France,World",Auchan Bio,Auchan bio doubles galettes de riz,Galettes de riz fourrées (45%) chocolat noisette issues de l'agriculture biologique,0.12 kg,,unknown,,,,unknown,4.0,
3596710519774,Galettes de maïs chocolat noir,"France,World",Auchan Bio,Auchan bio galettes de mais chocola,Galettes de maïs nappées de chocolat noir issues de l'agriculture biologique,0.1 kg,58.0,c,"en:fat-in-high-quantity,en:saturated-fat-in-high-quantity,en:sugars-in-high-quantity,en:salt-in-low-quantity",Puffed corn cakes with black chocolate,16.0,d,3.0,"Cereals and potatoes,Cereals"
